!Women Art Revolution (2010) |   3 stars, 1hr 22m
#1 Cheerleader Camp (2010) |   3 stars, 1hr 35m
$5 a Day (2008) |   3.4 stars, 1hr 37m
Lunar Jim (2006-2007) |   3 stars, 2 Seasons
Lunopolis (2009) |   3.1 stars, 1hr 37m
Lupo! (1971) |   , 1hr 37m
Lure of the Swamp (1957) |   2.9 stars, 1hr 14m
Lust, Caution (2007) |   3.5 stars, 2hr 38m
Lust in the Dust (1985) |   2.9 stars, 1hr 23m
Luther (1974) |   3 stars, 1hr 51m
Luther (2010-2011) |   4.2 stars, 2 Series
Luv Ka the End (2011) |   3.3 stars, 1hr 46m
Lymelife (2008) |   3.2 stars, 1hr 34m
Lynching Charlie Lynch (2011) |   3.3 stars, 1hr 40m
Lynyrd Skynyrd: Sweet Home Alabama (1996) |   3.6 stars, 1hr 33m
M (2006) |   2.9 stars, 1hr 49m
M�ncora (2008) |   3.4 stars, 1hr 41m
Mac & Devin Go to High School (2012) |   3.7 stars, 1hr 15m
Mac and Me (1988) |   3.3 stars, 1hr 39m
Macaroni (1985) |   2.9 stars, 1hr 43m
Macbeth (2010) |   3.7 stars, 2hr 38m
Macbeth (2006) |   2.6 stars, 1hr 49m
MacGyver (1985-1991) |   3.8 stars, 7 Seasons
Machete (1958) |   2.4 stars, 1hr 15m
Machete Maidens Unleashed! (2010) |   3.3 stars, 1hr 24m
Machine (2007) |   2.8 stars, 1hr 28m
Machine Gun Preacher (2011) |   3.8 stars, 2hr 8m
Macho (2009) |   2.8 stars, 1hr 14m
Mad About Mambo (2000) |   3 stars, 1hr 32m
Mad About Men (1954) |   3.3 stars, 1hr 25m
Mad Bastards (2010) |   2.5 stars, 1hr 36m
Mad Bull (1977) |   2.2 stars, 1hr 36m
Mad Dog and Glory (1993) |   3.1 stars, 1hr 36m
Mad Men (2007-2010) |   4.2 stars, 4 Seasons
Mad Monster Party (1967) |   3.3 stars, 1hr 34m
Mad Ron's Prevues from Hell (1987) |   2.7 stars, 1hr 23m
Mad World (2010) |   3.3 stars, 1hr 38m
Madame Sousatzka (1988) |   3.4 stars, 2hr 11m
Made for Each Other (2009) |   2.8 stars, 1hr 37m
Made in Heaven (1952) |   2.9 stars, 1hr 20m
Made in USA (1987) |   2.7 stars, 1hr 22m
Madeinusa (2006) |   3.1 stars, 1hr 39m
Mademoiselle (1966) |   2.9 stars, 1hr 43m
Mademoiselle Chambon (2009) |   3.2 stars, 1hr 36m
Madhouse (1974) |   3.2 stars, 1hr 31m
Madman of the Sea (2010) |   2.7 stars, 1 Season
Madness (2010) |   2.8 stars, 1hr 33m
Madonna's Secret (1946) |   3.1 stars, 1hr 18m
Madonna: Truth or Dare (1991) |   3 stars, 1hr 59m
Mafioso (1962) |   3.5 stars, 1hr 42m
Magi-Nation (2007-2010) |   4 stars, 2 Seasons
Magic Fire (1955) |   2.8 stars, 1hr 34m
Magic Silver (2009) |   , 1hr 22m
Magic Silver 2 (2011) |   , 1hr 24m
Magic Town (1947) |   3.4 stars, 1hr 43m
Magic Trip (2011) |   3.7 stars, 1hr 47m
Magicians (2007) |   3.1 stars, 1hr 30m
Magnum P.I. (1980-1987) |   3.7 stars, 8 Seasons
Mahalia Jackson: The Power and the Glory (1997) |   3.3 stars,
Mahavishnu Orchestra: Live at Montreux 1974-1984 (1974) |   , 1hr 53m
Maid in Manhattan (2002) |   3.2 stars, 1hr 45m
Main, Meri Patni Aur Woh (2005) |   3.4 stars,
Main Gandhi Ko Nahin Mara (2005) |   3.3 stars, 1hr 39m
Main Street (2011) |   2.8 stars, 1hr 33m
Make Believe (2010) |   3.7 stars, 1hr 31m
Make It or Break It (2009-2012) |   4.1 stars, 3 Seasons
Make Me Young: Youth Knows No Pain (2009) |   3.2 stars, 1hr 28m
Make Mine Mink (1960) |   3.3 stars, 1hr 41m
Making Grace (2005) |   3.1 stars, 1hr 26m
Making Stuff: NOVA (2011) |   4 stars, 4 Episodes
Making the Boys (2009) |   3.4 stars, 1hr 32m
Making War Horse (2009) |   3.5 stars, 49m
Mal�na (2000) |   3.7 stars, 1hr 32m
Malarek (1989) |   , 1hr 37m
Malcolm in the Middle (2000-2005) |   4 stars, 7 Seasons
Malevolence (2004) |   2.9 stars, 1hr 25m
Malevolent (2002) |   3.4 stars, 1hr 35m
Malice in Wonderland (2009) |   3.3 stars, 1hr 26m
Mall Cops: Mall of America (2010) |   3.4 stars, 1 Season
Malta Story (1953) |   3.5 stars, 1hr 43m
Mamitas (2011) |   3.7 stars, 1hr 49m
Mammoth (2009) |   3.4 stars, 2hr 6m
Man, Woman, Wild (2010) |   4 stars, 1 Season
Man Accused (1959) |   3.2 stars, 57m
Man from Frisco (1944) |   2.9 stars, 1hr 30m
Man of Her Dreams (1997) |   3.2 stars, 1hr 34m
Man of Iron (1981) |   3 stars, 2hr 32m
Man of La Mancha (1972) |   3.5 stars, 2hr 9m
Man on a Mission: Richard Garriott's Road to the Stars (2010) |   3.6 stars, 1hr 22m
Man on Wire (2008) |   3.6 stars, 1hr 34m
Man or Gun (1958) |   3.2 stars, 1hr 19m
Man Trap (1961) |   2.7 stars, 1hr 33m
Man vs. Wild (2006-2011) |   4 stars, 6 Collections
Man-Eater of Kumaon (1948) |   2.6 stars, 1hr 19m
Mana: Beyond Belief (2004) |   2.8 stars, 1hr 31m
Management (2008) |   3 stars, 1hr 33m
Manchu Eagle Murder Caper Mystery (1975) |   2.3 stars, 1hr 21m
Manda Bala (2007) |   3.4 stars, 1hr 25m
Mandabi (1968) |   3 stars, 1hr 31m
Mandie and the Cherokee Treasure (2010) |   3.7 stars, 1hr 44m
Mandie and the Secret Tunnel (2009) |   3.6 stars, 1hr 43m
Mandrill (2009) |   2.9 stars, 1hr 28m
Manfish (1956) |   , 1hr 16m
Mangus! (2011) |   2.5 stars, 1hr 28m
Manic (2001) |   3.5 stars, 1hr 41m
Manito (2003) |   2.9 stars, 1hr 15m
Manslaughter (2005) |   3 stars, 1hr 39m
Mansome (2012) |   3.3 stars, 1hr 22m
MANswers (2007-2008) |   3.6 stars, 2 Seasons
Manufactured Landscapes (2006) |   3.6 stars, 1hr 26m
Mao's Last Dancer (2010) |   4.1 stars, 1hr 57m
Map of the Human Heart (1993) |   3.2 stars, 1hr 49m
Map of the Sounds of Tokyo (2009) |   3.1 stars, 1hr 46m
Mapping Stem Cell Research: Terra Incognita (2007) |   3.8 stars, 1hr 23m
Mara of the Wilderness (1965) |   3 stars, 1hr 30m
Marat / Sade (1967) |   3.3 stars, 1hr 59m
Marathon (2010) |   2.4 stars, 1hr 23m
Marathon Man (1976) |   3.7 stars, 2hr 5m
Marcel's Quantum Kitchen (2011) |   3.4 stars, 6 Episodes
March of the Penguins (2004) |   3.7 stars, 1hr 20m
Margaret Cho: Beautiful (2009) |   3.3 stars, 1hr 26m
Margaret Thatcher: The Iron Lady (2012) |   , 1hr 29m
Margin Call (2011) |   3.6 stars, 1hr 47m
Margot at the Wedding (2007) |   2.5 stars, 1hr 32m
Marianne Faithfull: Dreaming My Dreams (2000) |   3.3 stars, 1hr
Marilyn in Manhattan (2012) |   3.5 stars, 46m
Marine Life (2000) |   , 1hr 35m
Mario's Story (2007) |   3.8 stars, 1hr 37m
Marion Bridge (2003) |   3.2 stars, 1hr 30m
Mark of Love (2009) |   3.3 stars, 1hr 28m
Mark Twain (2000) |   4 stars, 3hr 31m
Marley (2012) |   4.3 stars, 2hr 24m
Maroc 7 (1967) |   2.6 stars, 1hr 31m
Marriage Italian Style (1964) |   3.6 stars, 1hr 41m
Marriage Retreat (2011) |   3.6 stars, 1hr 26m
Married in America 2 (2006) |   3.3 stars, 2hr 12m
Mars (2010) |   2.8 stars, 1hr 21m
MARS Dead or Alive: Nova (2004) |   3.8 stars, 54m
Mars Needs Women (1967) |   2.4 stars, 1hr 22m
Marshal of Amarillo (1948) |   3.4 stars, 1hr
Martha Speaks (2009) |   3.8 stars, 1 Season
Martial Arts Master: The Life of Bruce Lee (1993) |   3.9 stars, 52m
Martin's Day (1984) |   2.6 stars, 1hr 38m
Martin & Orloff (2002) |   3.2 stars, 1hr 25m
Martin and Lewis (2002) |   3.6 stars, 1hr 32m
Marvin's Room (1996) |   3.4 stars, 1hr 38m
Marvin Gaye: Behind the Legend (2004) |   3.9 stars, 1hr 1m
Marvin Gaye: What's Going On: The Life & Death of Marvin Gaye (2006) |   4 stars, 1hr
Marwencol (2010) |   3.9 stars, 1hr 22m
Mary, Mother of Jesus (1999) |   3.7 stars, 1hr 27m
Mary and Max (2009) |   4 stars, 1hr 32m
Mary Had a Little (1961) |   2.6 stars, 1hr 21m
Maryjane (1968) |   2.4 stars, 1hr 36m
Mashaal (1984) |   3 stars, 2hr 41m
Mask Maker (2010) |   3.2 stars, 1hr 29m
Mask of Death (1996) |   3.3 stars, 1hr 29m
Masquerade (1965) |   2.7 stars, 1hr 41m
Masquerade (1988) |   3.3 stars, 1hr 31m
Mass Appeal (1984) |   2.9 stars, 1hr 39m
Master Harold...and the Boys (2010) |   3.1 stars, 1hr 23m
Master of Dragonard Hill (1989) |   2.4 stars, 1hr 31m
Master of Martial Hearts (2008) |   3.2 stars, 5 Episodes
Master of Study (2010) |   , 16 Episodes
Master of the World (1961) |   3.2 stars, 1hr 38m
Master Qi and the Monkey King (2010) |   , 1hr 21m
Masterpiece Classic: Any Human Heart (2010) |   3.7 stars, 4 Episodes
Masterpiece Classic: Downton Abbey (2010) |   4.6 stars, 1 Season
Masterpiece Classic: The Diary of Anne Frank (2009) |   4 stars, 1hr 40m
Masterpiece Classic: Upstairs, Downstairs (1971-1975) |   3.7 stars, 5 Series
Masterpiece Classic: Wuthering Heights (2009) |   4 stars, 2 Episodes
Masterpiece Contemporary: Place of Execution (2009) |   3.8 stars, 2 Episodes
Masterpiece Contemporary: The Last Enemy (2008) |   3.7 stars, 5 Episodes
Masterpiece Mystery!: Agatha Christie's Marple (2004-2008) |   3.9 stars, 4 Series
Masterpiece Mystery!: Foyle's War (2003-2010) |   3.5 stars, 6 Set
Masterpiece Mystery!: Inspector Lewis (2007-2009) |   4.1 stars, 3 Series
Masterpiece Mystery!: The Inspector Lynley Mysteries: For the Sake of Elena (2002) |   3.7 stars, 1hr 28m
Masterpiece Mystery!: The Inspector Lynley Mysteries: Missing Joseph (2002) |   3.8 stars, 1hr 28m
Masterpiece Mystery!: The Inspector Lynley Mysteries: Payment in Blood (2002) |   3.7 stars, 1hr 27m
Masterpiece Mystery!: The Inspector Lynley Mysteries: Well-Schooled in Murder (2002) |   3.7 stars, 1hr 28m
Matchless (1967) |   2.5 stars, 1hr 44m
Matchmaker Mary (2008) |   3.6 stars, 1hr 13m
Matilda: Special Edition (1996) |   3.8 stars, 1hr 38m
Max (2002) |   3.1 stars, 1hr 48m
Max Dugan Returns (1983) |   3.5 stars, 1hr 37m
Max Manus (2008) |   3.9 stars, 1hr 57m
Maxed Out (2006) |   3.5 stars, 1hr 26m
Maximilian: Saint of Auschwitz (1995) |   2.8 stars, 1hr 15m
Maybe (2009) |   3.2 stars, 1hr 46m
Maybe Baby (2000) |   3 stars, 1hr 33m
Mayor Cupcake (2011) |   3.6 stars, 1hr 25m
McLeod's Daughters (2001-2008) |   3.8 stars, 8 Seasons
McMillan & Wife (1971-1976) |   3.4 stars, 6 Seasons
Me Again (2012) |   3.7 stars, 1hr 37m
Me and Orson Welles (2008) |   3 stars, 1hr 53m
Me and You and Everyone We Know (2005) |   3.3 stars, 1hr 31m
Mean Girls (2004) |   3.6 stars, 1hr 36m
Mean Girls 2 (2011) |   3.5 stars, 1hr 36m
Mean Guns (1997) |   3.2 stars, 1hr 50m
Meatball Machine (2005) |   2.8 stars, 1hr 33m
Medal for the General (1944) |   2.9 stars, 1hr 30m
Medal of Honor (2008) |   4 stars, 1hr 25m
Media Malpractice (2009) |   3.5 stars, 1hr 55m
Medicine for Melancholy (2008) |   3.1 stars, 1hr 28m
Medicine Men Go Wild (2008) |   3.8 stars, 4 Episodes
Medium (2005-2010) |   3.7 stars, 7 Seasons
Medium Raw (2010) |   3.2 stars, 1hr 50m
Meek's Cutoff (2011) |   2.7 stars, 1hr 42m
Meerkat Manor (2008) |   3.8 stars, 1 Season
Meet Bill (2007) |   3.2 stars, 1hr 33m
Meet Joe Black (1998) |   3.7 stars, 3hr
Meet Me Tonight (1952) |   2.5 stars, 1hr 24m
Meet Mr. Daddy (2007) |   3.6 stars, 1hr 57m
Meet the Family (2006) |   2.5 stars, 1hr 31m
Meet the Parents (2000) |   3.8 stars, 1hr 47m
Meet Wally Sparks (1997) |   3.3 stars, 1hr 45m
Meeting Spencer (2010) |   2.3 stars, 1hr 26m
Mega Piranha (2010) |   2.6 stars, 1hr 29m
Mega Shark vs. Crocosaurus (2010) |   2.7 stars, 1hr 28m
Megadeth: That One Night: Live in Buenos Aires (2005) |   3.5 stars, 1hr 35m
Melancholia (2011) |   3.2 stars, 2hr 15m
Melissa & Joey (2010-2012) |   4.1 stars, 2 Seasons
Melody Parade (1943) |   2.9 stars, 1hr 12m
Melrose Place (1992-1998) |   3.3 stars, 7 Seasons
Melrose Place 2.0 (2009) |   3.5 stars, 18 Episodes
Melvin Purvis: G-Man (1974) |   3.2 stars, 1hr 14m
Memento (2000) |   3.8 stars, 1hr 53m
Memory (2007) |   3.2 stars, 1hr 38m
Memphis the Musical (2011) |   4 stars, 2hr 11m
Memron (2004) |   2.6 stars, 1hr 18m
Men at Work (2006) |   2.6 stars, 1hr 14m
Men of War (1994) |   3.3 stars, 1hr 43m
Men Who Swim (2010) |   3.2 stars, 1hr 10m
Mera Pind (2007) |   2.8 stars, 2hr 45m
Merantau (2009) |   3.6 stars, 1hr 52m
Merci Pour Le Chocolat (2000) |   3.1 stars, 1hr 36m
Mercy (2009) |   3.2 stars, 1hr 27m
Mercy (2000) |   3 stars,
Mercy or Murder? (1987) |   3.3 stars, 1hr 36m
Mere Brother Ki Dulhan (2011) |   3.6 stars, 2hr 19m
Mere Yaar Ki Shaadi Hai (2002) |   3.3 stars, 2hr 39m
Merlin (1998) |   4.1 stars, 2 Episodes
Merlin (2009-2010) |   4.2 stars, 3 Seasons
Merlin's Apprentice (2006) |   3.6 stars, 2 Episodes
Merlin and the War of the Dragons (2008) |   3.2 stars, 1hr 31m
Mermaids (1990) |   3.6 stars, 1hr 50m
Merry Christmas Mr. Lawrence (1983) |   3.4 stars, 2hr 3m
Merton: A Film Biography (1984) |   3.7 stars, 57m
Meskada (2010) |   3 stars, 1hr 28m
Mesmerized (1986) |   3.1 stars, 1hr 29m
Mesrine: Part 1: Killer Instinct (2008) |   3.8 stars,
Mesrine: Part 2: Public Enemy #1 (2008) |   3.8 stars, 2hr 13m
Message from Space (1978) |   2.8 stars, 1hr 45m
Messages Deleted (2009) |   3.3 stars, 1hr 31m
Metajets (2008) |   3.6 stars, 1 Series
Metal Tornado (2011) |   3.3 stars, 1hr 30m
Metalstorm: The Destruction of Jared-Syn (1983) |   2.6 stars, 1hr 22m
Meteor Apocalypse (2010) |   3 stars, 1hr 28m
Methadonia (2005) |   3.3 stars, 1hr 27m
Metropia (2009) |   3.3 stars, 1hr 26m
Metropolis Restored (1927) |   4 stars, 2hr 28m
Metropolitan (1990) |   3.3 stars, 1hr 38m
Mexico City (2000) |   3.2 stars, 1hr 27m
MI-5 (2002-2011) |   3.7 stars, 10 Volumes
Miami Ink (2005-2008) |   3.6 stars, 6 Seasons
Miami Vice (1984-1988) |   3.5 stars, 5 Seasons
Michael (2011) |   3 stars, 1hr 36m
Michael Collins (1996) |   3.7 stars, 2hr 12m
Michael Feinstein: The Sinatra Legacy (2011) |   , 1hr 3m
Michael Jackson: History: The King of Pop 1958-2009 (2009) |   3.3 stars, 1hr 17m
Michael Jackson: Life of a Superstar (2009) |   3.4 stars, 48m
Michael Jackson: The Real Michael Jackson (2004) |   3.9 stars, 2hr 35m
Michael Tilson Thomas: The Thomashefskys (2011) |   , 2hr 7m
Michael Wood: In Search of Myths and Heroes (2005) |   3.8 stars, 4 Episodes
Microcosmos (1996) |   3.9 stars, 1hr 15m
MicroPlanet (2012) |   , 41m
Mid-August Lunch (2008) |   3.5 stars, 1hr 12m
Midas (2011) |   3.8 stars, 1 Season
Middle Course (1961) |   2.9 stars, 59m
Middle Men (2009) |   3.8 stars, 1hr 52m
Middle of Nowhere (2008) |   3.5 stars, 1hr 35m
Middlemarch (1994) |   3.5 stars, 6 Episodes
Midnight Chronicles (2010) |   2.9 stars, 1hr 40m
Midnight Clear (2007) |   3.2 stars, 1hr 42m
Midnight Cowboy (1969) |   3.6 stars, 1hr 53m
Midnight Crossing (1988) |   2.9 stars, 1hr 36m
Midnight Dancers (1994) |   2.5 stars, 1hr 58m
Midnight Eagle (2007) |   3 stars, 2hr 12m
Midnight Express (1978) |   3.8 stars, 2hr
Midnight Mass (2003) |   2.4 stars, 1hr 38m
Midnight Matinee (1989) |   ,
Midnight Movie (2008) |   3.2 stars, 1hr 19m
Midnight Witness (1993) |   3 stars, 1hr 30m
Midsomer Murders (1997-2010) |   4.1 stars, 13 Series
Mighty B! (2008-2009) |   3.7 stars, 2 Seasons
Mighty Machines (1995-2008) |   3.6 stars, 3 Seasons
Mighty Morphin Alien Rangers (1996) |   3.6 stars, 10 Episodes
Mighty Morphin Power Rangers (1993-2010) |   3.7 stars, 4 Seasons
Mighty Morphin Power Rangers: The Movie (1995) |   3.5 stars, 1hr 35m
Mike and the Mechanics & Paul Carrack: Live at Shepherds Bush London (2005) |   , 57m
Mike Birbiglia: What I Should Have Said Was Nothing: Tales From My Secret Public Journal (2008) |   3.8 stars, 1hr 22m
Mike Epps: Under Rated & Never Faded (2009) |   3.8 stars, 1hr 9m
MILF (2010) |   3 stars, 1hr 28m
Milking the Rhino (2008) |   3.6 stars, 1hr 23m
Million Dollar Rip Off (1976) |   2.8 stars, 1hr 13m
Millions Like Us (1943) |   3.2 stars, 1hr 43m
Milo (1998) |   2.9 stars, 1hr 30m
Milwaukee, Minnesota (2003) |   3 stars, 1hr 35m
Mimic (1997) |   3.2 stars, 1hr 45m
Mimic 3: Sentinel (2003) |   2.9 stars, 1hr 16m
Mind Over Money: Nova (2010) |   3.7 stars, 52m
Mine (2009) |   3.9 stars, 1hr 20m
Ministry of Vengeance (1989) |   2.9 stars, 1hr 35m
Mink Deville: Live at Montreux 1982 (2008) |   , 1hr 6m
Minnie and Moskowitz (1971) |   3.2 stars, 1hr 55m
Minor Details (2009) |   3.8 stars, 1hr 25m
Minutemen (2008) |   3.6 stars, 1hr 30m
Miracle at Oxford (1996) |   3.2 stars, 1hr 54m
Miracle Beach (1992) |   3.2 stars, 1hr 27m
Miracle Dogs (2003) |   3.9 stars, 1hr 33m
Miracle on 34th Street (1955) |   3.8 stars, 46m
Miracle on 34th Street (1973) |   3.4 stars, 1hr 38m
Miracle on Ice (1981) |   3.9 stars, 2hr 24m
Miracles (1986) |   3 stars, 1hr 26m
Mirageman (2007) |   3 stars, 1hr 27m
Miral (2011) |   3.3 stars, 1hr 45m
Miranda (1948) |   3.2 stars, 1hr 20m
Mirch (2010) |   2.9 stars, 1hr 51m
Miss Marple (1987-1986) |   3.8 stars, 2 Set
Miss Minoes (2001) |   3.4 stars, 1hr 26m
Miss Nobody (2010) |   3.2 stars, 1hr 30m
Miss Ripley (2011) |   3.4 stars, 16 Episodes
Miss Wonton (2001) |   2.4 stars, 1hr 27m
Missing (2003-2005) |   3.7 stars, 3 Seasons
Missing In America (2005) |   3.7 stars, 1hr 42m
Missing Person (2009) |   2.2 stars, 1hr 34m
Mission: Impossible (1966-1972) |   3.7 stars, 7 Seasons
Mission: Impossible (1996) |   3.6 stars, 1hr 50m
Mission: Impossible III (2006) |   3.5 stars, 2hr 5m
Mission Demolition (2009) |   3.9 stars, 1 Season
Mission of the Shark: The Saga of the U.S.S. Indianapolis (1991) |   3.2 stars, 1hr 33m
Mistaken Identity (1999) |   3.8 stars, 1hr 28m
Mister Foe (2007) |   3.1 stars, 1hr 35m
Mister Rock and Roll (1957) |   2.8 stars, 1hr 26m
Mistresses (U.K.) (2008) |   3.7 stars, 1 Volume
Mitti Wajaan Maardi (2007) |   2.9 stars, 2hr 34m
Mixed Company (1974) |   2.7 stars, 1hr 49m
Mixed Doubles (2006) |   2.7 stars, 1hr 30m
Mixtape, Inc. (2007) |   3.4 stars, 1hr 48m
Mo'Nique: Behind Bars (2007) |   3.7 stars, 44m
Mo'Nique: I Coulda Been Your Cellmate! (2006) |   3.7 stars, 57m
Mob Wives (2011) |   3.7 stars, 1 Season
Modern Girls (1986) |   3.2 stars, 1hr 24m
Modern Marvels: Battle Gear (2001) |   3.7 stars, 46m
Modern Marvels: Brooklyn Bridge (1995) |   3.8 stars, 45m
Modern Marvels: Eiffel Tower (1994) |   3.6 stars, 44m
Modern Marvels: Extreme Gadgets (2003) |   3.7 stars, 43m
Modern Marvels: Golden Gate Bridge (1995) |   3.8 stars, 43m
Modern Marvels: Las Vegas (1994) |   3.6 stars, 1hr 24m
Modern Marvels: Monster Trucks (2001) |   3.6 stars, 45m
Modern Marvels: Mount Rushmore (1996) |   3.8 stars, 43m
Modern Marvels: Polio Vaccine (1997) |   3.7 stars, 44m
Modern Marvels: Stealth Technology (1997) |   3.9 stars, 43m
Modern Marvels: Television: Window to the World (1996) |   3.8 stars, 43m
Modern Marvels: The Empire State Building (1994) |   3.8 stars, 41m
Modern Marvels: The Great Wall of China (1997) |   3.5 stars, 45m
Modern Marvels: The Manhattan Project (2002) |   3.8 stars, 44m
Modern Marvels: The Railroads That Tamed the West (1996) |   3.8 stars, 43m
Modern Marvels: The Telephone (1995) |   3.7 stars, 44m
Modern Sniper (2009) |   3.9 stars, 1 Season
Modify (2005) |   3.5 stars, 1hr 24m
Modus Operandi (2009) |   2.2 stars, 1hr 16m
Moeyo Ken (2005) |   3.2 stars, 13 Episodes
Mohabbatein (2000) |   3.8 stars, 3hr 36m
Mom (1991) |   2.9 stars, 1hr 35m
Moment of Indiscretion (1958) |   3.2 stars, 1hr 11m
Momentum (2003) |   3.3 stars, 1hr 32m
Mommie Dearest (1981) |   3.6 stars, 2hr 8m
Mommo: The Bogeyman (2009) |   2.7 stars, 1hr 32m
Mona Lisa (1986) |   3.4 stars, 1hr 44m
Mona the Vampire (1999) |   3.5 stars, 1 Season
Monarchy (U.K.) (2006) |   3.8 stars, 2 Series
Money Matters (2011) |   3.9 stars, 1hr 29m
Money Talks (1972) |   2.3 stars, 1hr 26m
Money Train (1995) |   3.2 stars, 1hr 49m
Monk (2002-2009) |   4 stars, 8 Seasons
Monkey on My Back (1957) |   2.8 stars, 1hr 34m
Monkey Shines (1988) |   3.2 stars, 1hr 53m
Monkey Trouble (1994) |   3.4 stars, 1hr 36m
Monogamy (2010) |   2.7 stars, 1hr 38m
Monroe: Class of '76 (2005) |   3.3 stars, 1 Season
Monse�or: The Last Journey of �scar Romero (2010) |   , 1hr 27m
Monsieur Hire (1989) |   3.3 stars, 1hr 19m
Monsieur Vincent (1947) |   3.5 stars, 1hr 53m
Monsoon Wedding (2001) |   3.6 stars, 1hr 54m
Monster (2008) |   2.1 stars, 1hr 26m
Monster Dog (1985) |   2.7 stars, 1hr 24m
Monster Island (2004) |   2.6 stars, 1hr 32m
Monster Thursday (2004) |   3 stars, 1hr 39m
Monsters (2010) |   3.1 stars, 1hr 33m
Monsters Resurrected (2009) |   3.8 stars, 6 Episodes
Montenegro (1981) |   2.8 stars, 1hr 31m
Monty Python's The Meaning of Life (1983) |   3.8 stars, 1hr 47m
Monument Ave. (1998) |   3.2 stars, 1hr 33m
Monumental: David Brower's Fight for Wild America (2004) |   3.6 stars, 1hr 17m
Moody Blues: Lovely to See You (2005) |   3.5 stars, 1hr 45m
Moog (2004) |   3.2 stars, 1hr 9m
Moon of the Wolf (1972) |   2.9 stars, 1hr 14m
Moondance (1995) |   2.7 stars, 1hr 32m
Moonlight Serenade (2006) |   2.7 stars, 1hr 32m
Moonraker (1979) |   3.6 stars, 2hr 6m
Moonrise (1948) |   2.8 stars, 1hr 30m
More American Graffiti (1979) |   3.2 stars, 1hr 50m
More Barney Songs (2000) |   3 stars, 54m
More Business of Being Born (2011) |   , 4 Episodes
More Than Chance (2011) |   3.3 stars, 1hr 31m
More Than Yesterday (1998) |   , 1hr 22m
Moribito: Guardian of the Sacred Spirit (2007) |   4 stars, 8 Volumes
Morlang (2003) |   3 stars, 1hr 35m
Morning Glory (2010) |   3.6 stars, 1hr 47m
Morning Glory (1993) |   3.5 stars,
Mortal Passions (1989) |   2.4 stars, 1hr 35m
Mortal Transfer (2001) |   2.5 stars, 2hr 3m
Morvern Callar (2002) |   2.8 stars, 1hr 37m
Moscow, Belgium (2008) |   3.3 stars, 1hr 46m
Mosquito Squadron (1969) |   3.4 stars, 1hr 30m
Moss (2010) |   3.5 stars, 2hr 42m
Most High (2006) |   2.9 stars, 1hr 38m
Mother (2009) |   3.6 stars, 2hr 9m
Mother's Boys (1994) |   3.4 stars, 1hr 35m
Mother Ghost (2002) |   3.5 stars, 1hr 22m
Mother of Mine (2005) |   3.9 stars, 1hr 43m
Motherland Afghanistan (2007) |   3.8 stars, 1hr 13m
Motorcycle Gang (1994) |   2.9 stars, 1hr 24m
Motorhead: Ace of Spades (2005) |   3.9 stars, 49m
Mount St. Helens: Back from the Dead: Nova (2010) |   3.8 stars, 52m
Mountaintop Motel Massacre (1986) |   2.7 stars, 1hr 35m
Mouse Hunt (1997) |   3.6 stars, 1hr 37m
Mouth to Mouth (2005) |   3 stars, 1hr 38m
Movers & Shakers (1985) |   2.7 stars, 1hr 19m
Moving Midway (2007) |   3.6 stars, 1hr 38m
Moving Target (1988) |   3.1 stars, 1hr 33m
Mozart's Sister (2011) |   3.5 stars, 2hr
Mr Magoo's Christmas Carol (1962) |   3.6 stars, 1hr 17m
Mr. and Mrs. Khanna (2009) |   2.8 stars, 1hr 49m
Mr. Bean: The Animated Series (2002) |   3.7 stars, 52 Episodes
Mr. Bean: The Whole Bean (1990) |   4.1 stars, 14 Episodes
Mr. Deeds (2002) |   3.5 stars, 1hr 36m
Mr. Mom (1983) |   3.5 stars, 1hr 31m
Mr. Nice (2010) |   3.4 stars, 2hr
Mr. Peabody & The Mermaid (1948) |   3.3 stars, 1hr 28m
Mr. Warmth: The Don Rickles Project (2007) |   3.7 stars, 1hr 30m
Mr. Wong, Detective (1938) |   3.5 stars, 1hr 8m
Mr. Wong in Chinatown (1939) |   3.5 stars, 1hr 10m
Mrs. Brown (1997) |   3.7 stars, 1hr 44m
Mrs. Carey's Concert (2011) |   , 1hr 35m
Mrs. Miracle (2009) |   4 stars, 1hr 32m
Mrs. Palfrey at the Claremont (2006) |   3.8 stars, 1hr 47m
Mrs. Pollifax: Spy (1971) |   3.3 stars, 1hr 49m
MSNBC Films: The Assassination of Dr. Tiller (2010) |   3.7 stars, 44m
MSNBC Undercover: Sex Slaves (2007) |   3.6 stars, 4 Episodes
Muay Thai Giant (2008) |   3.1 stars, 1hr 41m
Much Ado About Nothing (1993) |   3.7 stars, 1hr 50m
Mugabe and the White African (2009) |   3.9 stars, 1hr 34m
Muhammad Ali: Made in Miami (2008) |   4 stars, 54m
Mujhse Dosti Karoge! (2002) |   3.6 stars, 2hr 28m
Mujhse Fraaandship Karoge (2011) |   3.6 stars, 1hr 44m
Mulholland Dr. (2001) |   3.3 stars, 2hr 27m
Mulholland Falls (1996) |   3.4 stars, 1hr 46m
Mulligans (2008) |   3.5 stars, 1hr 30m
Mum & Dad (2008) |   3.1 stars, 1hr 27m
Mummies: Secrets of the Pharaohs: IMAX (2007) |   3.6 stars, 38m
Mummy Maniac (2007) |   1.8 stars, 1hr 20m
Munyurangabo (2007) |   3 stars, 1hr 33m
